ID,year,set,tournament_round,game_round,lightning_round,question_num,type,lightning_lead,q_text,a_text,bonus_q_text,bonus_a_text,geography,woman_mentioned,named_woman
,2014,c,1,2,NA,1,tossup + bonus,NA,"This man's reforms were sabotaged when Qi sent dancing girls and horses to distract the Duke of Lu. This man advocated the ""reification of names"" and the ""five relationships."" For 10 points, name this author of the ""Five Classics"" whose sayings, collected in the Analects, form the basis of a traditional Chinese ruling philosophy.  ",Confucius,"Confucius lived during the Spring and Autumn period, in which what Chinese dynasty, nominally in power from 1046 to 256 BC, was in decline?  ",Zhou Dynasty,Asia - China,FALSE,
,2014,c,1,2,NA,2,tossup + bonus,NA,"During this century, the Ottoman Empire's Tulip Period began with the Treaty of Passarowitz (pr. puh-SAH-roe-vits). At the end of this century, the White Lotus Rebellion broke out in China. The Battle of Plassey and the Black Hole of Calcutta took place in this century. For 10 points, identify this century in which Britain took control of Canada after the French and Indian War.  ",18th century,"The Battle of Plassey weakened what Islamic dynasty that had ruled in India since 1526, transferring effective control of most of India to the British East India Company?  ",Mughal Dynasty,"Europe, Asia",FALSE,
,2014,c,1,2,NA,3,tossup + bonus,NA,"Alexander Neckham first described the European use of this object, which began in 1190 after it was invented in China. This object was used in conjunction with Portolan charts to double the Venetian trading season, which previously relied on clear skies for navigation. For 10 points, name this navigational device which uses the Earth's magnetic field to point north.  ",compass,"What other great navigational problem was solved by John Harrison with the invention of the ""Sea Clock"" in 1730, winning a namesake twenty-thousand pound prize?  ",determining longitude,"Europe, Asia",FALSE,
,2014,c,1,2,NA,4,tossup + bonus,NA,"The Ford administration declared this phenomenon ""public enemy number one"" and circulated buttons which encouraged Americans to ""whip"" this thing ""now."" Paul Volcker was instructed by the Reagan administration to get this thing under control at any cost to the unemployment rate. For 10 points, identify this phenomenon of generally rising prices.  ",inflation,"Paul Volcker was the chairman of what body, a position later held by Alan Greenspan? ",Federal Reserve,North America - USA,FALSE,
,2014,c,1,2,NA,5,tossup + bonus,NA,"This state's Jackson County is where the Garden of Eden was located in Mormon belief. This state was added to the U.S. as a slave state in exchange for Maine coming in as a free state, in its namesake ""compromise."" For 10 points, name this state that shares its name with the longest river in the USA, which meets the Mississippi River here near the Gateway Arch in St. Louis.  ",Missouri,"The Missouri city of Independence was the start of what route, which settlers took to reach the Willamette Valley?  ",Oregon Trail,North America - USA,FALSE,
,2014,c,1,2,NA,6,tossup + bonus,NA,"This man first came to prominence by suppressing the 13 Vendémiaire rebellion with what Thomas Carlyle called ""a whiff of grapeshot."" He made his brothers Joseph and Jerome into the kings of Spain and Westphalia, respectively. For 10 points, name this ""First Counsel"" who was defeated by the Duke of Wellington at Waterloo.  ",Napoleon Bonaparte,Napoleon was able to remove Austria and the Holy Roman Empire from the Third Coalition opposing him with what great 1805 victory in what is now the Czech Republic?  ,Battle of Austerlitz,Europe,FALSE,
,2014,c,1,2,NA,7,tossup + bonus,NA,"A scandal leading up to this ballot question involved abusive Twitter messages sent to J.K. Rowling. Alistair Darling appeared in an August 2014 debate on behalf of Better Together, which led the ""no"" campaign on this question. For 10 points, identify this September 2014 ballot question which sought to make Edinburgh the capital of a new sovereign country.  ",Scottish independence,Which largest Scottish city by population was one of the few areas where the majority of people voted for independence?  ,Glasgow,Europe - UK - Scotland,TRUE,J.K. Rowling
,2014,c,1,2,NA,8,tossup + bonus,NA,"Troops who carried out this action referred to it as “Blumenkrieg”, a term meaning ""war of flowers,"" because they were met by cheering crowds. Kurt Schuschnigg was forced to resign to clear the way for this action, which began on March 11, 1938. For 10 points, identify this forced incorporation of Austria into Nazi Germany.  ",Anschluss,"Austria was forbidden from unifying with Germany by the Treaty of Saint-Germain, which was signed at the end of what war?  ",World War I,"Europe - Germany, Europe - Austria",FALSE,
,2014,c,1,3,1,1,lightning,What person or god from ancient Greece…,Was the leader of the Olympian gods and was depicted in a famous statue at Olympia? ,Zeus,,,Europe - Greece,FALSE,
,2014,c,1,3,1,2,lightning,What person or god from ancient Greece…,"Ran naked through the streets of Syracuse shouting ""Eureka"" after discovering buoyancy?  ",Archimedes,,,Europe - Greece,FALSE,
,2014,c,1,3,1,3,lightning,What person or god from ancient Greece…,Led a cult which opposed eating beans and discovered a side length theorem for right triangles?  ,Pythagoras,,,Europe - Greece,FALSE,
,2014,c,1,3,1,4,lightning,What person or god from ancient Greece…,"Was the ""gadfly of Athens"" whose Apology was recorded by Plato?  ",Socrates,,,Europe - Greece,FALSE,
,2014,c,1,3,1,5,lightning,What person or god from ancient Greece…,"Offered a salt spring as a gift to Athens, which then chose Athena as its patron deity instead?  ",Poseidon,,,Europe - Greece,FALSE,
,2014,c,1,3,1,6,lightning,What person or god from ancient Greece…,"Wrote the first book of history, The Persian Wars?  ",Herodotus,,,Europe - Greece,FALSE,
,2014,c,1,3,1,7,lightning,What person or god from ancient Greece…,"Was called the ""tenth muse"" for her accomplishments as a female poet on Lesbos?  ",Sappho,,,Europe - Greece,TRUE,Sappho
,2014,c,1,3,1,8,lightning,What person or god from ancient Greece…,"Gave a ""funeral oration"" on Athenian ideals during the Peloponnesian War?  ",Pericles,,,Europe - Greece,FALSE,
,2014,c,1,3,2,1,lightning,"In the Middle Ages, who or what was the… ","Empire which, by the 1070s, was reduced to the area around Constantinople?  ",Byzantine Empire,,,Byzantine Empire,FALSE,
,2014,c,1,3,2,2,lightning,"In the Middle Ages, who or what was the… ","Country first organized by the Piast Dynasty, which was later invaded by its neighbor Germany to start World War II? ",Poland,,,Europe - Poland,FALSE,
,2014,c,1,3,2,3,lightning,"In the Middle Ages, who or what was the… ",Muslim empire based in Turkey which conquered much of the region from 1308 to 1571?  ,Ottoman Empire,,,Ottoman Empire,FALSE,
,2014,c,1,3,2,4,lightning,"In the Middle Ages, who or what was the… ",Modern-day country where the Grand Duchy of Muscovy formed around the city of Moscow?  ,Russia,,,Europe - Russia,FALSE,
,2014,c,1,3,2,5,lightning,"In the Middle Ages, who or what was the… ",Group which briefly overran Eastern Europe after defeating the Hungarians at Mohi in 1241? ,Mongols,,,Europe - Hungary,FALSE,
,2014,c,1,3,2,6,lightning,"In the Middle Ages, who or what was the… ",City where Vladimir the Great converted a namesake state to Christianity before it became the Ukrainian capital? ,Kiev,,,Europe - Ukraine,FALSE,
,2014,c,1,3,2,7,lightning,"In the Middle Ages, who or what was the… ",Prince of Wallachia whose practice of putting opposing soldiers on stakes inspired vampire legends?  ,Vlad the Impaler,,,Europe - Romania - Wallachia,FALSE,
,2014,c,1,3,2,8,lightning,"In the Middle Ages, who or what was the… ","Battle, which shares its name with a Balkan country that declared independence in 2008 from Serbia?  ",Kosovo,,,Europe - Kosovo,FALSE,
,2014,c,1,3,3,1,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,The four-term New Deal architect who succeeded him  ,Franklin Delano Roosevelt,,,North America - USA,FALSE,
,2014,c,1,3,3,2,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,The Chicago mob kingpin convicted of tax evasion  ,Al Capone,,,North America - USA,FALSE,
,2014,c,1,3,3,3,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,"His ""Silent"" predecessor in the White House ",Calvin Coolidge,,,North America - USA,FALSE,
,2014,c,1,3,3,4,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,"The East Asian language he spoke, along with more people than any other language ",Chinese,,,North America - USA,FALSE,
,2014,c,1,3,3,5,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,The prestigious California university which he attended in its first year ,Stanford,,,North America - USA,FALSE,
,2014,c,1,3,3,6,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,"The popular nickname for the stock market crash of October 29, 1929  ",Black Tuesday,,,North America - USA,FALSE,
,2014,c,1,3,3,7,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,The disastrous 1930 tariff bill which worsened the Depression ,Smoot-Hawley Tariff,,,North America - USA,FALSE,
,2014,c,1,3,3,8,lightning,Name the person or event from the life or presidency of Herbert Hoover that was… ,A group of World War I veterans who marched on Washington  ,Bonus Army,,,North America - USA,FALSE,
,2014,c,1,4,NA,1,tossup,,"The use of this three word phrase ended a secret program by which Ryan Crocker coordinated the capture of Al-Qaeda operatives. This phrase originally ended with the word ""hatred"" when David Frum wrote it into a section of the  2002 State of the Union Address that argued for the overthrow of Saddam Hussein. For 10 points, give this threeword phrase used by George W. Bush to describe Iraq, Iran, and North Korea by analogy to an earlier grouping of Germany, Italy, and Japan.  ",axis of evil,,,"North America - USA, Europe - Germany, Europe - Italy, Asia - Iraq, Asia - Iran, Asia - North Korea, Asia - Japan",FALSE,
,2014,c,1,4,NA,2,tossup,,"A major book about these places was based heavily on the recollections of Georg Tenno. These places were initially described only in ""samizdat"" literature, whose possession could get a person sent to these places, which were the subject of the Kolyma Tales. For 10 points, name these places whose ""archipelago"" is the subject of a book by Alexander Solzhenitsyn, who also set One Day in the Life of Ivan Denisovich in one of these forced Soviet labor camps.  ",gulags,,,Europe - Russia,FALSE,
,2014,c,1,4,NA,3,tossup,,"During this era, Josquin des Prez made advances in polyphony, and Giovanni da Palestrina wrote the Pope Marcellus Mass. This era's music came under fire at the Council of Trent and was succeeded by the Baroque period. For 10 points, identify this period in Western musical history in which motets and masses were the dominant form of music, and which shares its name with a ""rebirth"" in literature and visual arts. ",Renaissance,,,Europe,FALSE,
,2014,c,1,4,NA,4,tossup,,"This substance was the subject of the ""Letter to Queen Victoria"" sent by Commissioner Lin, who burned chests full of it on the beach. This substance was mixed with alcohol to make the eighteenth-century medicine ""laudanum"" and was consumed in namesake ""dens."" The seizure of the Arrow sparked a second war named for this substance. For 10 points, identify this narcotic whose first war ended when the Treaty of Nanking granted European concessions in China.  ",opium,,,"Europe - UK, Asia - China",TRUE,Queen Victoria
,2014,c,1,4,NA,5,tossup,,"Herbert Fairbank first explained the potential for this system in 1939 after expanding the Pershing Map. This system was authorized by a 1956 law but not completed until 1992, at a cost of 114 billion dollars. This system was championed by Dwight Eisenhower, who had seen the uses of the Autobahn system while serving in Germany. For 10 points, identify this road network which includes even-numbered east-west routes and odd-numbered north-south routes. ",Interstate Highway System,,,North America - USA,FALSE,
,2014,c,1,4,NA,6,tossup,,"Russell S. Penniman found a cheaper way to make this product, which must be periodically rotated to avoid the pooling of its active component out of the sawdust medium. This product reduced the danger of using black powder or unmodified nitroglycerin, and led to its inventor being dubbed ""the merchant of death."" For 10 points, identify this explosive with mining and military applications, which requires a blasting cap and was devised by Alfred Nobel. ",dynamite,,,"North America - USA, Europe - Sweden",FALSE,
,2014,c,1,4,NA,7,tossup,,"Roger Ascham described the use of this weapon in the manual Toxophilus, and it survived in the British army until World War II, when Jack Churchill killed a Nazi soldier with one of them. These weapons were sometimes named for the Welsh people who invented them and perfected their use, and they were used to great effect by the English at Agincourt. For 10 points, name this six-foot-tall archery weapon which replaced the crossbow.  ",longbow,,,Europe - UK,FALSE,
,2014,c,1,4,NA,8,tossup,,"This city was divided by a 1946 enforcement of the Smoke Control Ordinance under David Lawrence. Factory workers in this city told of Joe Magerac and invented a method of cooking steak that produces a charred exterior and raw inside. This city was where Pinkerton detectives were hired to break the Homestead strike by Henry Clay Frick and Andrew Carnegie. For 10 points, name this former center of steel production, which is at the head of the Ohio River in Western Pennsylvania. ",Pittsburgh,,,North America - USA,FALSE,
,2014,c,1,extra,NA,1,tossup + bonus,,"Because two million acres in this American state were set aside for veterans, the land became known as the ""Military Tract"" and towns there were named Pompey, Solon, and Scipio. This state's ""burned-over district"" was the center of the Second Great Awakening, and its city of Cooperstown became the home of the Baseball Hall of Fame due to an erroneous belief that the game was invented there. For 10 points, name this home of the Finger Lakes and Buffalo.  ",New York,Whose nomination as Walter Mondale's running mate in 1984 made her the first woman to be a major-party U.S. Vice-Presidential candidate? ,Gerladine Ferraro,North America - USA,TRUE,Geraldine Ferraro
,2014,c,2,1,,1,tossup,,"The city of Bagram was originally the capital of an ethnically Greek state that practiced this religion. Two statues of this religion's founder at Bamiyan were destroyed by the Taliban. For 10 points, name this religion whose Vajryana form is practiced in Tibet by followers of the Dalai Lama.  ",Buddhism,,,Asia - China - Tibet,FALSE,
,2014,c,2,1,,2,tossup,,"Near the end of his life, this man gave a speech identifying the ""three boxes"" as the source of rights. This man was nominated for Vice-President by the Equal Rights Party on the Victoria Woodhull ticket. This orator gave a speech asking ""what, to the slave, is the Fourth of July"" after founding The North Star. This author of My Bondage and My Freedom wrote about his escape from Mr. Covey in Maryland. For 10 points, name this former slave turned abolitionist. ",Frederick Douglass,,,North America - USA,TRUE,Victoria Woodhull
,2014,c,2,1,,3,tossup,,"Along with Henry David Thoreau, this thinker was cited as the chief Western influence on Gandhi. His pacifist tome The Kingdom of God is Within You made him the leader of dissenting Christians in early twentieth century Russia. For 10 points, name this man who viewed his theological work as more important than his novels, such as Anna Karenina  ",Leo Tolstoy,,,Europe - Russia,FALSE,
,2014,c,2,1,,4,tossup,,"This event was set in motion when Abel Corbin introduced its two plotters to the President, and Daniel Butterfield agreed to pass along inside information. This 1869 event tainted the Grant administration and was an attempt by James Fisk and Jay Gould to ""corner"" the gold market. For 10 points, identify this day, which shares its name with a post-Thanksgiving shopping event. ",Black Friday,,,North America - USA,FALSE,
,2014,c,2,1,,5,tossup,,"This king ordered the destruction of all remaining Protestant churches in the Edict of Fontainebleau. He was opposed at his accession by the Fronde movement, which was countered by his early advisor, Cardinal Mazarin. For 10 points, name this monarch who reigned for seventy-two years as the absolutist ""Sun King"" of France.  ",Louis XIV,,,Europe - France,FALSE,
,2014,c,2,1,,6,tossup,,"This man headed the Firebird and GTO projects while he was chief engineer of Pontiac, prior to starting his own namesake company. In 1982, he was arrested for participating in a cocaine deal, which he was acquitted of at trial after arguing entrapment. For 10 points, identify this man whose car firm produced a gull-winged, unpainted steel car used in Back to the Future. ",John DeLorean,,,North America - USA,FALSE,
,2014,c,2,1,,7,tossup,,"This party was victimized by the Zinoviev letter hoax, which purported to show Soviet control of its operations and brought down its first prime minister, Ramsay Macdonald. This party was first represented in Parliament by Scottish coal miner Keir Hardie. For 10 points, name this party, now the more left-wing of the two largest political parties in the United Kingdom.",Labour Party,,,Europe - UK,FALSE,
,2014,c,2,1,,8,tossup,,"Zacharias Janssen may have invented the first version of this device, which was first used in biology by Anton van Leeuwenhoek. In 1932, Ernst Ruska pioneered the ""electron"" type of this device, which was used to discover cells in cork by Robert Hooke. For 10 points, identify this device which lens-grinders created to peer at tiny objects.  ",microscope,,,Europe,FALSE,
,2014,c,2,1,,9,tossup,,"This man's prominent depiction on the cover of When the Word Is Given offended his superiors, as did his commentary that the John F. Kennedy assassination was ""a case of chickens coming home to roost."" He was killed at the Audubon Ballroom, most likely by agents of Elijah Muhammad. For 10 points, name this chief spokesman for the Nation of Islam.  ",Malcolm X,,,North America - USA,FALSE,
,2014,c,2,1,,10,tossup,,"In the autumn of 1649, this man led armies which sacked Drogheda, leading to his reputation as a cruel conqueror of Ireland. He was succeeded by his son Richard after his death. For 10 points, name this leader of the New Model Army who attained supreme power as ""Lord Protector of England"" after the Civil War.  ",Oliver Cromwell,,,Europe - UK,FALSE,
,2014,c,2,2,,1,tossup + bonus,,"The ""foundations"" of this field were described in a book by David Hilbert, and its ""hyperbolic"" form was pioneered by János Bolyai and the Russian Nikolai Lobachevsky. For 10 points, name this math field whose foundational text is the Elements by Euclid, which discusses the parallel postulate and Pythagorean theorem.  ",geometry,"What other kind of mathematics was invented simultaneously by Gottfried Leibniz and Isaac Newton, who long quarreled over the credit for its discovery?  ",calculus,Europe,FALSE,
,2014,c,2,2,,2,tossup + bonus,,"This artist depicted Nazi concentration camp victims in The Charnel House. In the late 1940s, this wealthy artist was the primary financial backer of the French Communist Party. An earlier political painting by him shows a lightbulb, a horse, and a screaming woman in memory of a Basque village bombed by the Nazis. For 10 points, name this creator of Guernica.  ",Pablo Picasso,"World War II itself caused the disappearance of many artworks, such as the Amber Room formerly found in what city, which was besieged by Nazis for nine hundred days? ",St. Petersburg or Leningrad,"Europe - Spain, Europe - Russia",FALSE,
,2014,c,2,2,,3,tossup + bonus,,"This city’s former troops revolted against it in the Mercenary War. As a result, this city's leader Hanno the Great was displaced by the rising Barcid dynasty, whose members included Hamilcar and Hasdrubal. This city lost the Battle of Zama to Scipio Africanus. For 10 points name this ancient North African city which was defeated by Rome in three Punic Wars.  ",Carthage,"The site of Carthage is in which present day African country, whose soccer team is thus known as the Carthage Eagles? ",Tunisia,Africa - Tunisia - Carthage,FALSE,
,2014,c,2,2,,4,tossup + bonus,,"In the 1950s, this team was led by quarterback Y.A. Tittle and the ""Million Dollar Backfield."" This team's receiver Dwight Clark made ""The Catch"" in 1982, and in January 1995, with quarterback Steve Young, they became the first NFL team to win a fifth Super Bowl. For 10 points, name this team that won four titles under the leadership of Joe Montana.  ",San Francisco 49ers,What all-time NFL leader in receiving yardage and receiving touchdowns played on three of the 49ers championship teams?  ,Jerry Rice,North America - USA,FALSE,
,2014,c,2,2,,5,tossup + bonus,,"Soon after independence, this country fell under the domination of the ""hairy feet"" secret police of José de Francia. This country was ruled by the eccentric Francisco Solano Lopez when it lost the majority of its male population to the War of the Triple Alliance. For 10 points, identify this country which has developed oddly due to its landlocked position in South America. ",Paraguay,"The War of the Triple Alliance proved a victory for Pedro II, a member of the Braganza Dynasty and the last person to hold what imperial title?  ",Emperor of Brazil,South America - Paraguay,FALSE,
,2014,c,2,2,,6,tossup + bonus,,"A powerful official in this government was the ""censor,"" who determined eligibility for the Senate. Politicians under this government followed the ""cursus honorum"" to move through the ranks of aedile, quaestor, praetor, and finally become one of two consuls. For 10 points, name this governmental system which was replaced by the Empire.  ",Roman Republic,"A legendary censor was the ""elder"" man of what name, who was also known for ending his speeches in the Senate by declaring ""Carthage must be destroyed?""  ",Cato,Roman Empire,FALSE,
,2014,c,2,2,,7,tossup + bonus,,"A bronze age museum is maintained at a ""crannog"" in County Clare on this island. This island regained its independence from Viking kingdoms at the 1014 Battle of Clontarf, re-establishing the High King's seat at the hill of Tara. The Book of Kells can be seen at Trinity College Library on this island. For 10 points, name this island, also home to the James Joyce Museum in Dublin. ",Ireland,What city in southwest Ireland is the namesake of a humorous poetic form?  ,Limerick,Europe - Ireland,FALSE,
,2014,c,2,2,,8,tossup + bonus,,"A desire to control this site sparked a brief 1860s war between France and Siam. This complex was built by Suryavarman II in the early twelfth century and dedicated to Vishnu, though it was later used for Buddhist worship. For 10 points, identify this Khmer Kingdom temple complex, or ""wat,"" in what is now Cambodia. ",Angkor Wat,"Cambodia later came under the rule of the Khmer Rouge, a Communist movement led by what dictator whose original name was Saloth Sar?  ",Pol Pot,Asia - Cambodia,FALSE,
,2014,c,2,3,1,1,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",State that took a long time to recover from Sherman’s March from Atlanta to Savannah?  ,Georgia,,,North America - USA,FALSE,
,2014,c,2,3,1,2,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",Hood-wearing group of Southern vigilantes which violently opposed black political power?  ,Ku Klux Klan,,,North America - USA,FALSE,
,2014,c,2,3,1,3,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",Derogatory term given by Southerners to Northerners who moved South?  ,carpetbaggers,,,North America - USA,FALSE,
,2014,c,2,3,1,4,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",President who was impeached during the Reconstruction Era?  ,Andrew Johnson,,,North America - USA,FALSE,
,2014,c,2,3,1,5,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",Constitutional amendment which prohibited slavery throughout the United States?  ,Thirteenth Amendment,,,North America - USA,FALSE,
,2014,c,2,3,1,6,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",Two-word name given to the dominant faction in Congress which drove Reconstruction?  ,Radical Republicans,,,North America - USA,FALSE,
,2014,c,2,3,1,7,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",Long-unenforced Constitutional amendment barring racial discrimination in voting?  ,Fifteenth Amendment,,,North America - USA,FALSE,
,2014,c,2,3,1,8,lightning,"During the post-Civil War Reconstruction period in the U.S., who or what was the… ",President whose inauguration ended Reconstruction as part of the Compromise of 1877?  ,Rutherford B. Hayes,,,North America - USA,FALSE,
,2014,c,2,3,2,1,lightning,Medieval emperor Charlemagne… ,"Was crowned on Christmas 800 by Leo III, a holder of what top office of the Catholic Church?  ",Pope,,,Holy Roman Empire,FALSE,
,2014,c,2,3,2,2,lightning,Medieval emperor Charlemagne… ,"Instigated the ""Carolingian"" example of what sort of period in which arts and learning revive?  ",Renaissance,,,Holy Roman Empire,FALSE,
,2014,c,2,3,2,3,lightning,Medieval emperor Charlemagne… ,"Launched a crusade against what Germanic people, who earlier joined with the Angles to conquer England?  ",Saxons,,,Holy Roman Empire,FALSE,
,2014,c,2,3,2,4,lightning,Medieval emperor Charlemagne… ,"In 797, took control of what currently second largest city in Spain? ",Barcelona,,,Holy Roman Empire,FALSE,
,2014,c,2,3,2,5,lightning,Medieval emperor Charlemagne… ,Was the son of what small-statured king?  ,Pepin the Short,,,Holy Roman Empire,FALSE,
,2014,c,2,3,2,6,lightning,Medieval emperor Charlemagne… ,"Was gifted what kind of large animal, known as Abul-Abbas, by the Abbasid caliph?  ",elephant,,,Holy Roman Empire,FALSE,
,2014,c,2,3,2,7,lightning,Medieval emperor Charlemagne… ,Was the leader of which Germanic tribe who were earlier led by the Merovingians?  ,Franks,,,Holy Roman Empire,FALSE,
,2014,c,2,3,2,8,lightning,Medieval emperor Charlemagne… ,Was the grandson of what Mayor of the Palace who won the Battle of Tours?  ,Charles Martel,,,Holy Roman Empire,FALSE,
,2014,c,2,3,3,1,lightning,The present-day country of the Philippines is or was… ,"Colonized by what European power, after whose king Philip II it was named? ",Spain,,,Asia - Philippines,FALSE,
,2014,c,2,3,3,2,lightning,The present-day country of the Philippines is or was… ,Controlled from an 1898 war until independence by what country?  ,United States of America,,,Asia - Philippines,FALSE,
,2014,c,2,3,3,3,lightning,The present-day country of the Philippines is or was… ,"Home to the Moro people and Abu Sayyaf movement, which follow what minority religion?  ",Sunni Islam,,,Asia - Philippines,FALSE,
,2014,c,2,3,3,4,lightning,The present-day country of the Philippines is or was… ,Was the site of the Battle of Leyte Gulf during which war? ,World War II,,,Asia - Philippines,FALSE,
,2014,c,2,3,3,5,lightning,The present-day country of the Philippines is or was… ,Subject to the “New Society” regime of what dictator from 1965 to 1986? ,Ferdinand Marcos,,,Asia - Philippines,FALSE,
,2014,c,2,3,3,6,lightning,The present-day country of the Philippines is or was… ,Home to thousands of what item of clothing that belonged to that man's wife Imelda?  ,shoes,,,Asia - Philippines,TRUE,Imelda Marcos
,2014,c,2,3,3,7,lightning,The present-day country of the Philippines is or was… ,The destination of galleons that left the port of Acapulco from which country in the Americas?  ,Mexico,,,Asia - Philippines,FALSE,
,2014,c,2,3,3,8,lightning,The present-day country of the Philippines is or was… ,Briefly led as president by what independence activist who led an anti-American insurgency until 1901? ,Emilio Aguinaldo,,,Asia - Philippines,FALSE,
,2014,c,2,4,,1,tossup,,"Buffalo Springfield insisted that the song ""For What It's Worth"" was about the Sunset Strip curfew riots and not this event. This event was the subject of Country Joe and the Fish's biggest hit. A veteran of this conflict is the subject of Bruce Springsteen's ""Born in the USA,"" and a protest against this conflict inspired Neil Young to write ""Ohio"" about the Kent State shootings. For 10 points, name this war which inspired copious protest music in the late 1960s.  ",Vietnam War,,,"North America - USA, Asia - Vietnam",FALSE,
,2014,c,2,4,,2,tossup,,"In 1844, the U.S. dispatched missionary Peter Parker and attorney Caleb Cushing to this country to negotiate a trade pact. This country signed the 1868 Burlingame Treaty with the United States. This country's natives were the subject of the Geary Act, and were prohibited from entering the U.S. between 1882 and 1943 under a namesake ""Exclusion Act."" For 10 points, name this country which is now, after Canada, the second-largest trade partner of the U.S.  ",China,,,"Asia - China, North America - USA",FALSE,
,2014,c,2,4,,3,tossup,,"An important 1878 piece for this instrument was composed for the virtuoso Joseph Joachim. This instrument was played by a composer of twenty-four caprices who allegedly made a deal with the devil, Niccolò Paganini. Many valuable examples of this instrument were created by the master craftsman Antonio Stradivari. For 10 points, name this string instrument which an orchestra's concertmaster plays.  ",violin,,,Europe,FALSE,
